price|quantity|type|level
4772000|0.2095|0|5
4769000|0.4479|0|5
4768000|0.0019|0|5
4767000|3.0|0|5
4766000|19.0211|0|5
4765000|4.7559|0|5
4764000|1.9619|0|5
4763000|30.822|0|5
4762000|2.7552|0|5
4761000|1.0296|0|5
4774000|0.3333|1|5
4775000|0.3338|1|5
4776000|6.2222|1|5
4777000|15.1042|1|5
4778000|4.0|1|5
4779000|5.1159|1|5
4781000|1.4326|1|5
4782000|1.0211|1|5
4783000|5.7047|1|5
4784000|0.4661|1|5
4772000|0.198|0|5
4769000|0.4479|0|5
4768000|0.0019|0|5
4767000|4.6899|0|5
4766000|19.0211|0|5
4765000|4.7559|0|5
4764000|1.9619|0|5
4763000|30.822|0|5
4762000|2.7555|0|5
4761000|1.0296|0|5
4774000|0.3333|1|5
4775000|3.3338|1|5
4776000|4.4177|1|5
4777000|16.1082|1|5
4778000|4.002|1|5
4779000|5.1179|1|5
4780000|0.005|1|5
4781000|1.4326|1|5
4782000|0.0211|1|5
4783000|5.7047|1|5
4772000|0.0|0|5
4769000|1.1976|0|5
4768000|0.0019|0|5
4767000|4.6827|0|5
4766000|19.0211|0|5
4765000|4.7727|0|5
4764000|4.9619|0|5
4763000|32.1557|0|5
4762000|2.4215|0|5
4761000|1.4527|0|5
4773000|0.002|1|5
4774000|0.0099|1|5
4775000|0.7711|1|5
4776000|6.2179|1|5
4777000|16.004|1|5
4778000|4.0|1|5
4779000|2.1159|1|5
4780000|1.1997|1|5
4781000|0.4346|1|5
4782000|0.0211|1|5
4772000|0.0|0|5
4770000|1.2086|0|5
4768000|3.4445|0|5
4767000|5.6827|0|5
4766000|19.0211|0|5
4765000|4.3338|0|5
4764000|5.4063|0|5
4763000|32.1561|0|5
4762000|2.4215|0|5
4761000|1.4527|0|5
4775000|0.667|1|5
4776000|6.2149|1|5
4777000|15.004|1|5
4778000|3.0|1|5
4779000|5.1159|1|5
4780000|1.002|1|5
4781000|2.632|1|5
4782000|0.0231|1|5
4783000|0.3347|1|5
4784000|0.4661|1|5
4772000|0.0|0|5
4770000|0.0112|0|5
4768000|0.4654|0|5
4767000|4.7972|0|5
4766000|19.0211|0|5
4765000|4.3338|0|5
4764000|5.4063|0|5
4763000|32.1555|0|5
4762000|2.4215|0|5
4761000|1.4527|0|5
4775000|3.6434|1|5
4776000|6.3191|1|5
4777000|15.006|1|5
4778000|4.003|1|5
4779000|5.1159|1|5
4780000|2.1997|1|5
4781000|1.4346|1|5
4782000|0.0231|1|5
4783000|0.3367|1|5
4784000|0.4661|1|5
4772000|0.0|0|5
4770000|0.0112|0|5
4768000|2.1228|0|5
4766000|4.8183|0|5
4765000|4.3338|0|5
4764000|20.8498|0|5
4763000|34.822|0|5
4762000|2.4215|0|5
4761000|1.7869|0|5
4760000|5.8086|0|5
4773000|6.3833|1|5
4774000|4.709|1|5
4775000|15.3358|1|5
4776000|5.5219|1|5
4777000|0.1258|1|5
4778000|4.003|1|5
4779000|2.1159|1|5
4780000|1.002|1|5
4781000|55.7268|1|5
4782000|15.3931|1|5
4772000|0.0|0|5
4770000|0.0112|0|5
4768000|2.1228|0|5
4767000|2.2398|0|5
4766000|19.0211|0|5
4765000|4.3338|0|5
4764000|9.3299|0|5
4763000|34.822|0|5
4762000|7.7915|0|5
4761000|1.4527|0|5
4773000|6.0498|1|5
4775000|0.3338|1|5
4776000|19.5199|1|5
4777000|0.004|1|5
4778000|4.003|1|5
4779000|5.7059|1|5
4780000|1.002|1|5
4781000|0.4346|1|5
4782000|24.3631|1|5
4783000|60.9989|1|5
4770000|0.0035|0|5
4768000|3.3383|0|5
4767000|8.8298|0|5
4766000|19.0211|0|5
4765000|4.3338|0|5
4764000|8.9963|0|5
4763000|34.822|0|5
4762000|8.1256|0|5
4761000|1.4527|0|5
4760000|11.1786|0|5
4773000|6.0498|1|5
4774000|0.3329|1|5
4775000|0.3358|1|5
4776000|19.5219|1|5
4777000|0.006|1|5
4778000|4.003|1|5
4779000|10.4938|1|5
4780000|1.002|1|5
4781000|0.4346|1|5
4782000|24.3631|1|5
4774000|3.0|0|5
4773000|1.9378|0|5
4772000|1.8161|0|5
4771000|20.0903|0|5
4770000|4.4433|0|5
4769000|4.7662|0|5
4768000|6.1404|0|5
4767000|7.6004|0|5
4766000|0.0211|0|5
4765000|0.7768|0|5
4776000|0.002|1|5
4777000|0.006|1|5
4778000|0.002|1|5
4779000|0.6759|1|5
4780000|0.002|1|5
4781000|18.4346|1|5
4782000|6.6231|1|5
4783000|4.3367|1|5
4784000|0.4681|1|5
4785000|1.0034|1|5
4775000|5.0476|0|5
4773000|2.2625|0|5
4772000|4.59|0|5
4771000|18.0|0|5
4770000|4.0035|0|5
4769000|4.4329|0|5
4768000|6.7304|0|5
4767000|0.4204|0|5
4766000|0.3546|0|5
4765000|0.7768|0|5
4777000|0.004|1|5
4779000|0.6731|1|5
4780000|0.1042|1|5
4781000|3.0031|1|5
4782000|21.6231|1|5
4783000|4.3367|1|5
4784000|3.4681|1|5
4785000|1.0034|1|5
4786000|0.4388|1|5
4787000|15.372|1|5
4775000|5.0476|0|5
4773000|3.4448|0|5
4771000|7.59|0|5
4770000|19.0035|0|5
4769000|4.4329|0|5
4768000|8.4895|0|5
4767000|5.7904|0|5
4766000|0.355|0|5
4765000|0.7768|0|5
4764000|6.7763|0|5
4777000|0.006|1|5
4778000|0.002|1|5
4779000|0.6751|1|5
4780000|0.4399|1|5
4781000|18.0031|1|5
4782000|7.6231|1|5
4783000|4.3367|1|5
4784000|3.4681|1|5
4785000|4.5934|1|5
4786000|5.8088|1|5
4775000|5.1672|0|5
4774000|4.8177|0|5
4773000|20.5342|0|5
4772000|4.59|0|5
4771000|7.59|0|5
4770000|4.0035|0|5
4769000|1.7838|0|5
4768000|8.4895|0|5
4767000|5.7904|0|5
4766000|0.0211|0|5
4776000|0.002|1|5
4777000|0.006|1|5
4778000|0.002|1|5
4779000|0.0051|1|5
4780000|0.005|1|5
4781000|0.3113|1|5
4782000|21.6231|1|5
4783000|4.3356|1|5
