price|quantity|type|level
89477000|0.0373|0|5
89476000|0.0161|0|5
89475000|0.0169|0|5
89474000|0.0535|0|5
89473000|0.03|0|5
89472000|0.0336|0|5
89469000|0.0227|0|5
89468000|0.0383|0|5
89467000|0.3451|0|5
89466000|0.3774|0|5
89494000|0.0019|1|5
89498000|0.0002|1|5
89505000|0.137|1|5
89510000|0.0021|1|5
89520000|0.1118|1|5
89532000|0.2313|1|5
89535000|0.0793|1|5
89536000|0.0634|1|5
89537000|0.037|1|5
89544000|0.0002|1|5
89504000|0.055|0|5
89502000|0.014|0|5
89501000|0.0384|0|5
89498000|0.0292|0|5
89496000|0.082|0|5
89494000|0.2509|0|5
89493000|0.0374|0|5
89492000|0.0213|0|5
89490000|0.0304|0|5
89477000|0.0003|0|5
89505000|0.057|1|5
89510000|0.0021|1|5
89520000|0.1118|1|5
89550000|0.0021|1|5
89552000|0.0002|1|5
89560000|0.0181|1|5
89561000|0.0621|1|5
89562000|0.0838|1|5
89563000|0.1539|1|5
89564000|0.0713|1|5
89510000|0.0001|0|5
89506000|0.0002|0|5
89504000|0.0001|0|5
89503000|0.0001|0|5
89500000|0.0294|0|5
89499000|0.0108|0|5
89498000|0.3676|0|5
89497000|0.0154|0|5
89496000|0.1526|0|5
89494000|0.0213|0|5
89520000|0.0918|1|5
89550000|0.0021|1|5
89552000|0.0002|1|5
89562000|0.0181|1|5
89563000|0.0621|1|5
89564000|0.0838|1|5
89565000|0.1539|1|5
89566000|0.0713|1|5
89568000|0.0591|1|5
89578000|0.0364|1|5
89510000|0.0004|0|5
89506000|0.0178|0|5
89504000|0.0001|0|5
89503000|0.0328|0|5
89500000|0.0294|0|5
89498000|0.399|0|5
89497000|0.0154|0|5
89496000|0.2205|0|5
89495000|0.0304|0|5
89494000|0.0213|0|5
89520000|0.0354|1|5
89550000|0.0021|1|5
89552000|0.0002|1|5
89559000|0.0373|1|5
89562000|0.0321|1|5
89563000|0.0621|1|5
89564000|0.0984|1|5
89565000|0.1393|1|5
89566000|0.0713|1|5
89567000|0.0591|1|5
89510000|0.0001|0|5
89500000|0.0177|0|5
89498000|0.3172|0|5
89497000|0.0482|0|5
89494000|0.0292|0|5
89492000|0.0818|0|5
89490000|0.1924|0|5
89489000|0.0213|0|5
89486000|0.0957|0|5
89480000|0.317|0|5
89520000|0.0022|1|5
89550000|0.0021|1|5
89552000|0.0002|1|5
89554000|0.0373|1|5
89556000|0.0321|1|5
89557000|0.0621|1|5
89558000|0.0838|1|5
89559000|0.1539|1|5
89560000|0.0713|1|5
89562000|0.0591|1|5
89520000|0.1496|0|5
89498000|0.2809|0|5
89497000|0.0314|0|5
89495000|0.0402|0|5
89493000|0.0161|0|5
89492000|0.0161|0|5
89491000|0.0487|0|5
89488000|0.0292|0|5
89487000|0.0818|0|5
89484000|0.251|0|5
89548000|0.0131|1|5
89550000|0.0021|1|5
89551000|0.0321|1|5
89552000|0.0798|1|5
89553000|0.1395|1|5
89554000|0.1336|1|5
89555000|0.0359|1|5
89556000|0.0591|1|5
89564000|2.7|1|5
89566000|0.0057|1|5
89520000|0.1656|0|5
89499000|0.0001|0|5
89498000|0.2809|0|5
89497000|0.016|0|5
89495000|0.016|0|5
89493000|0.016|0|5
89492000|0.016|0|5
89491000|0.016|0|5
89488000|0.0236|0|5
89486000|0.0375|0|5
89542000|0.0029|1|5
89543000|0.0796|1|5
89544000|0.0838|1|5
89545000|0.1541|1|5
89546000|0.0713|1|5
89548000|0.0591|1|5
89552000|0.0002|1|5
89558000|0.0419|1|5
89559000|0.0375|1|5
89564000|2.7|1|5
89551000|0.0009|0|5
89542000|0.0082|0|5
89520000|0.1654|0|5
89502000|0.0341|0|5
89501000|0.0185|0|5
89500000|0.0551|0|5
89499000|0.0161|0|5
89498000|0.2947|0|5
89497000|0.0488|0|5
89495000|0.016|0|5
89552000|0.0002|1|5
89556000|0.0596|1|5
89558000|0.2377|1|5
89559000|0.0354|1|5
89560000|0.0359|1|5
89561000|0.037|1|5
89562000|0.0221|1|5
89571000|0.0057|1|5
89572000|0.0362|1|5
89573000|0.0375|1|5
89552000|0.0011|0|5
89551000|0.001|0|5
89546000|0.001|0|5
89545000|0.0051|0|5
89543000|0.0558|0|5
89542000|0.0082|0|5
89520000|0.1656|0|5
89518000|0.016|0|5
89517000|0.2|0|5
89502000|0.0343|0|5
89556000|0.0596|1|5
89558000|0.2377|1|5
89559000|0.0354|1|5
89560000|0.0359|1|5
89561000|0.037|1|5
89562000|0.0221|1|5
89571000|0.0057|1|5
89572000|0.0362|1|5
89573000|0.0375|1|5
89578000|0.0002|1|5
89552000|0.0412|0|5
89551000|0.0009|0|5
89546000|0.001|0|5
89545000|0.0053|0|5
89542000|0.0082|0|5
89520000|0.0002|0|5
89502000|0.0341|0|5
89501000|0.0185|0|5
89500000|0.0551|0|5
89499000|0.0161|0|5
89556000|0.0596|1|5
89558000|0.2377|1|5
89559000|0.0354|1|5
89560000|0.0359|1|5
89561000|0.037|1|5
89562000|0.0221|1|5
89571000|0.0057|1|5
89572000|0.0362|1|5
89573000|0.0375|1|5
89578000|0.0002|1|5
89558000|0.06|0|5
89553000|0.2|0|5
89552000|0.0572|0|5
89551000|0.0009|0|5
89546000|0.001|0|5
89545000|0.0053|0|5
89542000|0.0082|0|5
89520000|0.0002|0|5
89504000|0.0354|0|5
89502000|0.0341|0|5
89560000|0.0413|1|5
89562000|0.0221|1|5
89572000|0.0362|1|5
89573000|0.0432|1|5
89578000|0.0002|1|5
89586000|0.031|1|5
89589000|0.0001|1|5
89594000|0.0131|1|5
89596000|0.0623|1|5
89597000|0.317|1|5
89566000|0.032|0|5
89565000|0.016|0|5
89564000|0.0333|0|5
89563000|0.0137|0|5
89560000|0.016|0|5
89559000|0.016|0|5
89558000|0.0785|0|5
89552000|0.0993|0|5
89551000|0.0011|0|5
89546000|0.001|0|5
89600000|4.9904|1|5
89606000|0.0045|1|5
89608000|0.0014|1|5
89616000|0.0003|1|5
89619000|0.0002|1|5
